Test at 17:52,,,,y = 2E-10x3 - 2E-06x2 + 0.0058x + 49.68
20,54,1465004,00:24:25.4,
20,54,1470003,00:24:30.3,
20,54,1475003,00:24:35.3,
20,54,1480003,00:24:40.3,
20,54,1485003,00:24:45.3,
20,54,1490003,00:24:50.3,
20,54,1495003,00:24:55.3,
20,54,1500003,00:25:00.3,
20,54,1505003,00:25:05.3,
20,54,1510003,00:25:10.3,
20,54,1515003,00:25:15.3,
20,54,1520003,00:25:20.3,
20,54,1525003,00:25:25.3,
20,54,1530003,00:25:30.3,
20,54,1535003,00:25:35.3,
20,54,1540003,00:25:40.3,
20,54,1545004,00:25:45.4,
20,54,1550003,00:25:50.3,
20,54,1555003,00:25:55.3,
20,54,1560003,00:26:00.3,
20,54,1565003,00:26:05.3,
20,54,1570003,00:26:10.3,
20,54,1575003,00:26:15.3,
20,54,1580003,00:26:20.3,
20,53,1585003,00:26:25.3,
20,54,1590003,00:26:30.3,
20,54,1595003,00:26:35.3,
20,54,1600003,00:26:40.3,
20,54,1605003,00:26:45.3,
20,54,1610003,00:26:50.3,
20,54,1615003,00:26:55.3,
20,54,1620003,00:27:00.3,
20,54,1625004,00:27:05.4,
20,54,1630003,00:27:10.3,
20,54,1635003,00:27:15.3,
20,54,1640003,00:27:20.3,
20,54,1645003,00:27:25.3,
20,54,1650003,00:27:30.3,
20,54,1655003,00:27:35.3,
20,54,1660003,00:27:40.3,
20,54,1665003,00:27:45.3,
20,54,1670003,00:27:50.3,
20,54,1675003,00:27:55.3,
20,54,1680003,00:28:00.3,
20,54,1685003,00:28:05.3,
20,53,1690003,00:28:10.3,
20,54,1695003,00:28:15.3,
20,54,1700003,00:28:20.3,
20,54,1705004,00:28:25.4,
20,54,1710003,00:28:30.3,
20,54,1715003,00:28:35.3,
20,54,1720003,00:28:40.3,
20,54,1725003,00:28:45.3,
20,53,1730003,00:28:50.3,
20,53,1735003,00:28:55.3,
20,54,1740003,00:29:00.3,
20,54,1745003,00:29:05.3,
20,54,1750003,00:29:10.3,
20,53,1755003,00:29:15.3,
20,54,1760003,00:29:20.3,
20,54,1765003,00:29:25.3,
20,54,1770003,00:29:30.3,
20,54,1775003,00:29:35.3,
20,54,1780003,00:29:40.3,
20,54,1785004,00:29:45.4,
20,53,1790003,00:29:50.3,
20,53,1795003,00:29:55.3,
20,53,1800003,00:30:00.3,
20,54,1805003,00:30:05.3,
20,54,1810003,00:30:10.3,
20,54,1815003,00:30:15.3,
20,54,1820003,00:30:20.3,
20,54,1825003,00:30:25.3,
20,54,1830003,00:30:30.3,
20,54,1835003,00:30:35.3,
20,54,1840003,00:30:40.3,
20,54,1845003,00:30:45.3,
20,54,1850003,00:30:50.3,
20,54,1855003,00:30:55.3,
20,54,1860003,00:31:00.3,
20,54,1865004,00:31:05.4,
20,54,1870003,00:31:10.3,
20,54,1875003,00:31:15.3,
20,54,1880003,00:31:20.3,
20,54,1885003,00:31:25.3,
20,54,1890003,00:31:30.3,
20,53,1895003,00:31:35.3,
20,54,1900003,00:31:40.3,
20,53,1905003,00:31:45.3,
20,54,1910003,00:31:50.3,
20,54,1915003,00:31:55.3,
20,54,1920003,00:32:00.3,
20,54,1925003,00:32:05.3,
20,54,1930003,00:32:10.3,
20,54,1935003,00:32:15.3,
20,54,1940003,00:32:20.3,
20,53,1945004,00:32:25.4,
20,53,1950003,00:32:30.3,
20,53,1955003,00:32:35.3,
20,53,1960003,00:32:40.3,
20,53,1965003,00:32:45.3,
20,53,1970003,00:32:50.3,
20,53,1975003,00:32:55.3,
20,54,1980003,00:33:00.3,
20,54,1985003,00:33:05.3,
20,53,1990003,00:33:10.3,
20,53,1995003,00:33:15.3,
20,53,2000003,00:33:20.3,
20,53,2005003,00:33:25.3,
20,53,2010003,00:33:30.3,
20,53,2015003,00:33:35.3,
20,53,2020003,00:33:40.3,
20,53,2025004,00:33:45.4,
20,53,2030003,00:33:50.3,
20,53,2035003,00:33:55.3,
20,53,2040003,00:34:00.3,
20,54,2045003,00:34:05.3,
20,54,2050003,00:34:10.3,
20,53,2055003,00:34:15.3,
20,53,2060003,00:34:20.3,
20,53,2065003,00:34:25.3,
20,53,2070003,00:34:30.3,
20,53,2075003,00:34:35.3,
20,53,2080003,00:34:40.3,
20,53,2085003,00:34:45.3,
20,53,2090006,00:34:50.6,
20,53,2095003,00:34:55.3,
20,53,2100003,00:35:00.3,
20,53,2105004,00:35:05.4,
20,53,2110003,00:35:10.3,
20,53,2115003,00:35:15.3,
20,53,2120003,00:35:20.3,
20,53,2125003,00:35:25.3,
20,54,2130003,00:35:30.3,
20,53,2135003,00:35:35.3,
20,53,2140003,00:35:40.3,
20,53,2145003,00:35:45.3,
20,54,2150003,00:35:50.3,
20,54,2155003,00:35:55.3,
20,54,2160003,00:36:00.3,
20,54,2165003,00:36:05.3,
20,54,2170003,00:36:10.3,
20,54,2175003,00:36:15.3,
20,54,2180003,00:36:20.3,
20,54,2185004,00:36:25.4,
20,54,2190003,00:36:30.3,
20,54,2195003,00:36:35.3,
20,54,2200003,00:36:40.3,
20,54,2205003,00:36:45.3,
20,54,2210003,00:36:50.3,
